iter	RMSE
332	241240.7543
333	240975.6561
334	240738.6715
335	240441.2271
336	240270.1246
337	240240.3316
338	240104.2006
339	239972.5564
340	239910.1725
341	239739.9003
342	239581.2342
343	239505.0816
344	239320.1354
345	239165.7052
346	239126.4533
347	238979.5355
348	238868.5373
349	238850.9456
350	238751.6511
351	238588.813
352	238443.1735
353	238328.9964
354	238248.7801
355	238069.4137
356	237928.1787
357	237830.5577
358	237678.1582
359	237491.7324
360	237396.9294
361	237297.3271
362	236874.7997
363	236760.719
364	236632.1956
365	236529.1005
366	236429.75
367	236343.7307
368	236287.7326
369	236235.1275
370	236078.4153
371	235911.4498
372	235831.0019
373	235767.0077
374	235623.4964
375	235526.2912
376	235493.736
377	235307.1609
378	235165.8255
379	235103.615
380	235044.1456
381	234942.9847
382	234876.3404
383	234755.1127
384	234609.4187
385	234172.3196
386	234040.1613
387	233963.8009
388	233864.2771
389	233770.9754
390	233669.3331
391	233662.4599
392	233593.4528
393	233455.9918
394	233351.9083
395	233232.5561
396	233053.0846
397	232971.1901
398	232855.7062
399	232635.6046
400	232549.4388
401	232463.8624
402	232366.7037
403	232256.0821
404	232117.9365
405	231999.1621
406	231951.8687
407	231863.8741
408	231785.572
409	231464.7326
410	231332.3034
411	231229.2921
412	231051.9271
413	230945.1309
414	230868.9423
415	230736.9252
416	230648.2809
417	230532.6797
418	230371.7611
419	230289.0518
420	230200.5176
421	230131.7976
422	230007.9678
423	229920.1075
424	229860.36
425	229821.5675
426	229720.7637
427	229667.5325
428	229590.1091
429	229419.2149
430	229323.9015
431	229292.1615
432	229266.5817
433	229152.0966
434	229072.915
435	228968.4092
436	228861.5179
437	228720.7923
438	228627.3519
439	228521.1512
440	228411.2113
441	228330.0023
442	228262.3787
443	228165.9285
444	228095.3519
445	227970.7682
446	227888.5345
447	227877.5206
448	227865.4726
449	227740.9056
450	227635.7184
451	227546.9797
452	227470.3938
453	227393.9119
454	227316.2419
455	227145.1107
456	227103.979
457	227095.46
458	226979.1087
459	226879.3739
460	226808.8625
461	226702.5725
462	226608.6274
463	226486.8222
464	226413.6998
465	226303.7128
466	226242.1812
467	226161.3758
468	226043.1459
469	225872.3394
470	225771.165
471	225714.4318
472	225587.2736
473	225523.7718
474	225433.8901
475	225380.5691
476	225245.2999
477	225167.798
478	224998.3866
479	224898.8935
480	224805.8964
481	224729.6358
482	224677.5095
483	224585.7578
484	224473.6165
485	224354.5347
486	224265.1224
487	224139.692
488	224033.8247
489	223994.9511
490	223862.0695
491	223772.1519
492	223462.0142
493	223417.1334
494	223251.2018
495	223095.0246
496	223001.1958
497	222917.833
498	222829.6739
499	222682.4348
