,MAE,MSE,RMSE,R2
Lasso,267804.2065651805,153914534664.2248,392319.4293738519,0.6218790486858898
LinearRegression,267805.09026663325,153914862355.91504,392319.84700740676,0.6218782436476008
Ridge,267769.9726616366,153936339531.1351,392347.218074928,0.6218254807948691
ElasticNet,291628.6101298971,179189503050.769,423307.81123287696,0.5597861793438008
KNeighborsRegressor,246853.75601336305,175237612321.7456,418613.91797424224,0.5694947665490808
RandomForestRegressor,160514.63005939126,76803126215.053,277133.7695320673,0.811318201937925
GradientBoostingRegressor,185107.04047162423,94902935528.63422,308063.2005427364,0.7668525045872114
AdaBoostRegressor,319953.1122311305,212998174437.99066,461517.2525897495,0.47672861096345864
CatBoostRegressor,336983.4432588356,241961748151.5706,491896.07454377046,0.40557396614757324
